x,y,temperature,alpha
0,0,300.00000008128757,0.0000000000011756000156895266
0.000002,0,300.000000171981,0.0000000000011756000213303216
0.000004,0,300.000000263686,0.0000000000011756000270299264
0.000006,0,300.0000003999449,0.0000000000011756000355093684
0.000008,0,300.0000006013653,0.0000000000011756000480430762
0.000009999999999999999,0,300.00000089631567,0.0000000000011756000663981492
0.000012,0,300.0000013243214,0.0000000000011756000930330356
0.000014,0,300.00000193956845,0.00000000000117560013132033
0.000016,0,300.000002815753,0.0000000000011756001858468027
0.000018,0,300.0000040519433,0.0000000000011756002627767875
0.000019999999999999998,0,300.0000057797685,0.0000000000011756003703025645
0.000022,0,300.00000817207894,0.000000000001175600519181229
0.000024,0,300.00001145328275,0.0000000000011756007233779388
0.000026,0,300.0000159111698,0.0000000000011756010008031822
0.000028,0,300.00002191033815,0.000000000001175601374146922
0.000029999999999999997,0,300.00002990683015,0.0000000000011756018717893318
0.000032,0,300.00004046372504,0.0000000000011756025287723776
0.000034,0,300.00005426696674,0.00000000000117560338778381
0.000036,0,300.0000721405371,0.0000000000011756045001012918
0.000037999999999999995,0,300.0000950598775,0.0000000000011756059264275875
0.000039999999999999996,0,300.0001241621276,0.0000000000011756077375274902
0.000042,0,300.00016075150853,0.0000000000011756100145636632
0.000044,0,300.0002062979757,0.0000000000011756128490106214
0.000046,0,300.000262427204,0.0000000000011756163420332495
0.000048,0,300.000330899958,0.0000000000011756206032020532
0.000049999999999999996,0,300.0004135790576,0.0000000000011756257484379373
0.000052,0,300.00051238253803,0.000000000001175631897096515
0.000054,0,300.00062922223145,0.0000000000011756391681472559
0.000056,0,300.0007659276414,0.0000000000011756476754363024
0.000058,0,300.00092415620264,0.0000000000011756575221023003
0.000059999999999999995,0,300.0011052918379,0.0000000000011756687942627307
0.000062,0,300.0013103354362,0.0000000000011756815542010104
0.000064,0,300.0015397916059,0.000000000001175695833315022
0.00006599999999999999,0,300.00179355769137,0.000000000001175711625213229
0.000068,0,300.00207082159636,0.0000000000011757288793525764
0.00007,0,300.0023699760398,0.000000000001175747495700813
0.000072,0,300.0026885564262,0.000000000001175767320866977
0.000074,0,300.00302320978955,0.0000000000011757881461657143
0.00007599999999999999,0,300.00336970080684,0.0000000000011758097079876945
0.000078,0,300.00372295959414,0.0000000000011758316907714182
0.00007999999999999999,0,300.00407717382996,0.0000000000011758537327345752
0.000082,0,300.0044259250364,0.000000000001175875434355436
0.000084,0,300.00476236632153,0.0000000000011758963694376638
0.00008599999999999999,0,300.00507943562184,0.0000000000011759160983857066
0.000088,0,300.0053700958545,0.0000000000011759341831604712
0.00008999999999999999,0,300.00562759103366,0.0000000000011759502032282577
0.000092,0,300.0058457054924,0.0000000000011759637717069412
0.000094,0,300.0060190124795,0.0000000000011759745508484992
0.000096,0,300.0061430982866,0.0000000000011759822660003407
0.000098,0,300.0062147489576,0.0000000000011759867172318409
0.00009999999999999999,0,300.0062320886245,0.0000000000011759877879483433
0.000102,0,300.0061946611273,0.0000000000011759854499677478
0.000104,0,300.00610344995084,0.0000000000011759797647550035
0.000106,0,300.0059608352865,0.0000000000011759708807345784
0.000108,0,300.00577049079084,0.0000000000011759590268468524
0.00010999999999999999,0,300.0055372263729,0.000000000001175944502745536
0.000112,0,300.0052667863371,0.000000000001175927666210738
0.00011399999999999999,0,300.00496561465314,0.0000000000011759089185233028
0.000116,0,300.0046406008918,0.0000000000011758886886334321
0.000118,0,300.00429882053106,0.0000000000011758674169892409
0.00011999999999999999,0,300.00394728330883,0.0000000000011758455398710495
0.000122,0,300.00359270178353,0.0000000000011758234749845462
0.000124,0,300.0032412902811,0.0000000000011758016089589521
0.000126,0,300.00289860187803,0.0000000000011757802872104493
0.000128,0,300.0025694081388,0.0000000000011757598064721585
0.00013,0,300.0022576234402,0.000000000001175740410101935
0.00013199999999999998,0,300.0019662729082,0.0000000000011757222861023367
0.000134,0,300.0016975007309,0.0000000000011757055676532123
0.000136,0,300.00145261331966,0.0000000000011756903358108
0.000138,0,300.00123215105936,0.0000000000011756766239842347
0.00014,0,300.0010359809464,0.0000000000011756644237064329
0.00014199999999999998,0,300.0008634028204,0.000000000001175653691250176
0.000144,0,300.0007132619216,0.0000000000011756443546343833
0.000146,0,300.00058406138373,0.0000000000011756363206228342
0.000148,0,300.00047406929735,0.0000000000011756294813854488
0.00015,0,300.00038141613015,0.0000000000011756237205562263
0.00015199999999999998,0,300.0003041796589,0.0000000000011756189185140423
0.000154,0,300.00024045575185,0.0000000000011756149567831717
0.000156,0,300.0001884143871,0.000000000001175611721513301
0.000158,0,300.00014634129326,0.0000000000011756091060682573
0.00015999999999999999,0,300.0001126661859,0.0000000000011756070127776697
0.00016199999999999998,0,300.0000859793695,0.0000000000011756053539675242
0.000164,0,300.0000650382555,0.0000000000011756040523632476
0.000166,0,300.0000487660389,0.0000000000011756030410045392
0.000168,0,300.00003624433134,0.0000000000011756022627866563
0.00016999999999999999,0,300.00002670158136,0.00000000000117560166973844
0.00017199999999999998,0,300.0000194988016,0.0000000000011756012221328275
0.000174,0,300.00001411410125,0.0000000000011756008875254195
0.000176,0,300.0000101268239,0.0000000000011756006397670588
0.000178,0,300.00000720224716,0.0000000000011756004580508681
0.00017999999999999998,0,300.0000050773651,0.000000000001175600326029764
0.00018199999999999998,0,300.00000354800676,0.0000000000011756002310143057
0.000184,0,300.00000245758537,0.0000000000011756001632722014
0.000186,0,300.0000016873704,0.0000000000011756001154254848
0.000188,0,300.00000114840594,0.0000000000011756000819460638
