laser
295355.19503723166
457401.0984184913
702121.6523973376
1068292.312619482
1611129.3682499332
2408425.956514678
3568607.287188963
5241152.432630855
7629874.554270367
11009575.609108424
15746583.23132022
22323622.082817383
31369353.215011
43692715.90199409
60321910.988596365
82547460.27911921
111968256.1671804
150538882.15988368
200615753.43874145
264998828.1877165
346964824.34447783
450287111.12858135
579236816.8433458
738559305.4612176
933420134.1476014
1169315020.8038743
1451939320.2401824
1787014097.491091
2180068122.27151
2636177958.204275
3159671685.0376816
3753805498.6496696
4420426236.604738
5159636467.935671
5969481812.500497
6845682249.963657
7781429993.258298
8767275748.00695
9791122669.164692
10838343005.55475
11892026399.381126
12933361361.190983
13942143017.727123
14897391418.807446
15778056175.90608
16563775714.653103
17235653651.361233
17777011343.87382
18174074945.877827
18416557517.510296
18498101867.454918
18416557517.510296
18174074945.877827
17777011343.873833
17235653651.36124
16563775714.65311
15778056175.906086
14897391418.807459
13942143017.727129
12933361361.190985
11892026399.381144
10838343005.55476
9791122669.164701
8767275748.006958
7781429993.258306
6845682249.96367
5969481812.500507
5159636467.935676
4420426236.604738
3753805498.6496735
3159671685.037688
2636177958.204282
2180068122.2715116
1787014097.4910927
1451939320.2401862
1169315020.8038764
933420134.1476039
738559305.4612182
579236816.843347
450287111.1285826
346964824.3444788
264998828.18771794
200615753.43874177
150538882.15988395
111968256.16718063
82547460.27911948
60321910.98859658
43692715.901994236
31369353.215011112
22323622.082817424
15746583.231320277
11009575.609108482
7629874.55427038
5241152.432630874
3568607.287188976
2408425.9565146905
1611129.3682499332
1068292.3126194857
702121.6523973402
457401.0984184953
295355.1950372333
366831.0779488004
568092.0491907021
872034.915680562
1326818.7835775893
2001022.27013678
2991264.432226357
4432209.353116187
6509510.0030781375
9476302.277345428
13673890.137395287
19557252.412734948
27725933.012044232
38960728.80305559
54266342.16072883
74919798.27573021
102523924.90441182
139064545.9974951
186969253.77918756
249164715.31224468
329128477.95690566
430930224.5675981
559256478.7659382
719411980.8303745
917290471.62114
1159307571.8384292
1452288961.7334747
1803308270.54799
2219471059.6159477
2707644059.5326753
3274132361.0408854
3924311438.0993586
4662225485.169514
5490168274.041926
6408267195.429532
